"XPS 2","","","m3","=(PROPERTIES!perimeter*0.5)*0.02","10",""
"KLEJ W PIANIE","","SPRAWDZIC Z PAWLEM WYDAJNOSC","","","10",""
"FOLIA PODWALINOWA","","","mb","=PROPERTIES!perimeter+PROPERTIES!groundFloorWalls","10",""
"PAPA SAMOPRZYLEPNA","","1 ROLKA - 28MB","mb","=PROPERTIES!perimeter","10",""
"KP1","","","szt.","=(PROPERTIES!perimeter+PROPERTIES!groundFloorWalls)/1.2","10",""
"KOTWA MONTAŻOWA FI12x80","","","szt.","=Pozycje!E5","10",""
"WKRĘT 7,5X132 STOŻEK","","","szt.","=(PROPERTIES!perimeter/0.6)+1","10",""
"WKRĘT 5X100 STOŻEK","","","szt.","=10*PROPERTIES!foundationArea","10",""
"WKRĘTY 6X60","","","szt.","=((PROPERTIES!perimeter/0.6)*2)+(3.5/0.6)*4","10",""
"WKRĘTY 8X80","","","szt.","=(PROPERTIES!groundFloorWalls/0.6)+1","10",""
"WKRĘTY 8X120","","","szt.","=((PROPERTIES!groundFloorWalls/0.6)+(PROPERTIES!perimeter/0.6)+(PROPERTIES!rafterCount*8))*1.1","10",""
"WKRĘTY 8X160","","","szt.","=PROPERTIES!foundationArea","10",""
"WKRĘTY 8X200","","","szt.","=(PROPERTIES!buildingLength/0.6)*2","10",""
"WKRĘTY 8X240","","POWYZEJ 6M SZEROKOSCI X4","szt.","=((PROPERTIES!buildingLength/0.6)+1)*3","10",""
"WKRĘTY 8X260","","","","=(PROPERTIES!rafterCount*4)/2","10",""
"WKRĘTY 8X300","","","","=(PROPERTIES!rafterCount*4)/2","10",""
"ZSZYWKI TAKER MŁOT G8","","","szt.","=((PROPERTIES!rafterLength/0.1)*PROPERTIES!rafterCount)*2","10",""
"GAZ DO GWOŹDZIARKI","","zweryfikowac z pawlem zuzycie","","","10",""
"GWOŹDZIE GWOŹDZIARKA 50mm","","","szt.","=(Pozycje!E21*2)+(Pozycje!E29*42)","10",""
"GWOŹDZIE GWOŹDZIARKA 70mm","","","","=Pozycje!E25*42","10",""
"GWOŹDZIE GWOŹDZIARKA 90mm","","","szt.","=(((PROPERTIES!rafterLength/0.4)+2)*PROPERTIES!rafterCount)*2","10",""
"PIANA PISTOLETOWA","","","","","10",""
"SĘKI FI15","","","","","10",""
"SĘKI FI30","","","","","10",""
"DESKA PODŁOGOWA","","","m2","=IF(PROPERTIES!attic;PROPERTIES!foundationArea-3;PROPERTIES!foundationArea)","10",""
"MEMBRANA","","","m2","=(PROPERTIES!roofLength*PROPERTIES!rafterLength)*2","10",""
"ŁATY","","","mb","=(((PROPERTIES!rafterLength/0.4)+2)*2)*PROPERTIES!roofLength","10",""
"KONTRŁATY","","","mb","=((PROPERTIES!rafterLength*2)*PROPERTIES!rafterCount)*2","10",""
"PODBITKA","","","m2","=(((PROPERTIES!buildingLength*PROPERTIES!eavesLenght)*2)+(PROPERTIES!spoutLength*PROPERTIES!rafterLength)*4)","10",""
